Zone,PIB
Aruba,3092178770.9497199
,1020647235171.22
Afghanistan,18753469630.258598
,683748746978.11206
Angola,68972763787.154694
Albanie,13019689336.6919
Andorre,3000162081.11976
Le monde arabe,2584096654452.2202
Émirats arabes unis,385605506854.88098
Argentine,643628665302.15503
Arménie,11527458565.7334
Samoa américaines,612000000
Antigua-et-Barbuda,1467977777.7777801
Australie,1326882872011.46
Autriche,417261151844.97699
Azerbaïdjan,40865558912.386703
Burundi,2712324087.2789001
Belgique,502764720556.354
Bénin,12701654743.214899
Burkina Faso,14106956830.085699
Bangladesh,293754646182.38898
Bulgarie,59199447421.492401
Bahreïn,35473776595.744698
Bahamas,12357600000
Bosnie-Herzégovine,18079076426.866699
Bélarus,54726595249.184898
Belize,1844906692.53913
Bermudes,7142316000
Bolivie,37508642170.766998
Brésil,2063514688761.98
Barbade,4981588899.82409
Brunéi Darussalam,12128104859.149799
Bhoutan,2450364928.07302
Botswana,16088437675.164801
République centrafricaine,2072349974.15272
Canada,1649265644244.0901
Europe centrale et les pays baltes,1464532904458.8501
Suisse,704478516963.85498
Îles Anglo-Normandes,
Chili,276364933679.62598
Chine,12310409370894.199
Côte d'Ivoire,51588158717.534798
Cameroun,36098550141.589699
"Congo, République démocratique du",38019265625.884499
"Congo, République du",11094823676.5914
Colombie,311883730690.12903
Comores,1077439662.5797999
Cabo Verde,1769787215.4214101
Costa Rica,60516043590.183197
Petits états des Caraïbes,72533236071.4207
Cuba,96851000000
Curacao,3009497206.7039099
Îles Caïmans,5166467286.7534504
Chypre,22870833709.896099
République tchèque,218628940951.67499
Allemagne,3690849152517.6499
Djibouti,2762581334.22612
Dominique,521551851.851852
Danemark,332121063806.39099
République dominicaine,79997975621.865402
Algérie,170097014589.134
Asie de l’Est et Pacifique (hors revenu élevé),14877258915652.801
de dividende précoce démographique,11291259618576.301
Asie de l’Est et Pacifique,24325231732305.301
Europe et Asie centrale (hors revenu élevé),3118192978608.2002
Europe et Asie centrale,21680175761930.602
Équateur,104295862000
"Égypte, République arabe d’",235733695652.17401
Zone euro,12677749892531.301
Érythrée,
Espagne,1312539279462.3601
Estonie,26924385103.065899
Éthiopie,81770791970.981995
Union européenne,14766273067392.1
Fragile et les situations de conflit touchées,1580890166457.95
Finlande,255647979916.47101
Fidji,5353404422.0813799
France,2595151045197.6499
Îles Féroé,2969876872.28339
"Micronésie, États fédérés de",366666800
Gabon,14929488770.731501
Royaume-Uni,2699016715111.3901
Géorgie,16242916915.720301
Ghana,60406382898.517403
Gibraltar,
Guinée,10324668266.5921
Gambie,1504909753.2874601
Guinée-Bissau,1350177127.5523
Guinée équatoriale,12200912828.369499
Grèce,199844406013.53101
Grenade,1125685185.18519
Groenland,2851610655.9239101
Guatemala,71654134378.529907
Guam,6013000000
Guyana,4748174334.14044
Revenu élevé,51558534599568.797
"Chine, RAS de Hong Kong",341273289534.466
Honduras,23136232229.606899
Pays pauvres très endettés (PPTE),808758193981.07605
Croatie,56214427431.199997
Haïti,15035560372.6443
Hongrie,143136245596.98801
BIRD seulement,28755722549809.301
BIRD et IDA,30949196507979.801
IDA totale,2193037942018.3301
IDA mélange,959820517813.63196
Indonésie,1015618742565.8101
IDA seulement,1233217424204.7
Île de Man,6979581724.5817204
Inde,2651472946374.9102
Non classifié,
Irlande,335430829594.026
"Iran, République islamique d’",486630146443.617
Iraq,187217660050.67599
Islande,24728285177.4603
Israël,355277223507.48499
Italie,1961796197354.3601
Jamaïque,14808989993.318501
Jordanie,41408960845.070396
Japon,4930837369151.4199
Kazakhstan,166805800595.70401
Kenya,82035800868.186996
République kirghize,7702934800.1283598
Cambodge,22177200511.5811
Kiribati,188192060.08583701
Saint-Kitts-et-Nevis,1060638333.33333
"Corée, République de",1623901496835.79
Koweït,120707435542.367
Amérique latine et Caraïbes (hors revenu élevé),4985190331086.0596
République démocratique populaire lao,17071162084.4067
Liban,53027680685.837502
Libéria,3390703400
Libye,67158415841.584198
Sainte-Lucie,1996771440.7407401
Amérique latine et Caraïbes,5830760733039.75
Pays les moins avancés: classement de l’ONU,1103873572550.27
Faible revenu,527246970766.453
Liechtenstein,6474256118.61481
Sri Lanka,87428128123.720901
"Revenu intermédiaire, tranche inférieure",7396385303040.0898
Revenu faible et intermédiaire,29564640715524.301
Lesotho,2306185361.1462798
de dividende tardif démographique,20609641582561.199
Lituanie,47758736931.780098
Luxembourg,65712180342.983597
Lettonie,30483806017.831799
"Région administrative spéciale de Macao, Chine",50440941938.699203
Saint-Martin (fr),
Maroc,109682728023.112
Monaco,6431314957.0718498
Moldova,9669741744.2200108
Madagascar,13176313593.5509
Maldives,4754175869.2402697
Afrique du Nord et Moyen-Orient,3296304700286.0298
Mexique,1158913035796.3701
Îles Marshall,213204100
Revenu intermédiaire,29040121195033.699
Macédoine du Nord,11307058382.3435
Mali,15365713059.1057
Malte,13505056441.5193
Myanmar,61449392056.148804
Afrique du Nord et Moyen-Orient (hors revenu élevé),1455193787706.9399
Monténégro,4856602178.6341696
Mongolie,11480847745.318701
Mariannes,1560000000
Mozambique,13219079497.7055
Mauritanie,6800135961.6141195
Maurice,13259351418.4459
Malawi,8943543677.1889896
Malaisie,319112136545.43799
Amérique du Nord,21136028016244.102
Namibie,12895153160.466
Nouvelle-Calédonie,9173668102.1384392
Niger,11185102399.5762
Nigéria,375746469538.66602
Nicaragua,13785909906.192499
Pays-Bas,833869641687.06006
Norvège,398393955268.98999
Népal,28971589213.218399
Nauru,109359680.21721099
Nouvelle-Zélande,206623758800.159
Pays membres de l'OCDE,50468487779733.602
Oman,80856697009.102707
Autres petits états,398431383419.64301
Pakistan,339205615769.18701
Panama,62202725200
Pérou,211007207483.51501
Philippines,328480867142.69
Palaos,285300000
Papouasie-Nouvelle-Guinée,22742613553.687901
Pologne,526508877305.32098
de Pré-dividende démographique,1293918591719.6499
Porto Rico,103445526000
"Corée, République démocratique de",
Portugal,221357874718.92999
Paraguay,38997129473.555801
Cisjordanie et Gaza,16128000000
Petits états insulaires du Pacifique,10217604992.442301
de Post-dividende démographique,47559090134749.703
Polynésie française,5833351477.8985004
Qatar,161099122215.30701
Roumanie,211695422578.655
Fédération de Russie,1574199387070.8999
Rwanda,9252834120.3935795
Asie du Sud,3426790936090.9902
Arabie saoudite,688586094412.68005
Soudan,129717804934.614
Sénégal,20996564751.5994
Singapour,343193352161.63397
Îles Salomon,1483793468.06299
Sierra Leone,3719369107.3499198
El Salvador,24979190000
Saint-Marin,1528630704.9254401
Somalie,5609000000
Serbie,44179055279.888702
Afrique subsaharienne (hors revenu élevé),1702822553872.21
Soudan du Sud,
Afrique subsaharienne,1704395982149.3301
Petits états,481182224483.50598
Sao Tomé-et-Principe,375614126.19387698
Suriname,3591623596.0308199
République slovaque,95393515077.747192
Slovénie,48589100043.095398
Suède,541018749769.09698
Eswatini,4402969225.9216499
Sint Maarten (Dutch part),1191620111.7318399
Seychelles,1573428277.1207399
République arabe syrienne,16340665431.516701
Îles Turques-et-Caïques,1022365000
Tchad,10000395242.1457
Asie de l’Est et Pacifique (BIRD et IDA),14858085911410.5
Europe et Asie centrale (BIRD et IDA),3912611705923.3799
Togo,6395472574.4144497
Thaïlande,456356961443.49701
Tadjikistan,7536439875.0833397
Turkménistan,37926285714.285698
Amérique latine et Caraïbes (BIRD et IDA),5591255025851.8301
Timor-Leste,1615609700
Afrique du Nord et Moyen-Orient (BIRD et IDA),1439065787706.9399
Tonga,460379144.98982102
Asie du Sud (BIRD et IDA),3426790936090.9902
Afrique subsaharienne (BIRD et IDA),1704395982149.3301
Trinité-et-Tobago,23180107751.920799
Tunisie,42164007605.191399
Turquie,858996263095.85803
Tuvalu,45217657.878602102
Tanzanie,53320625958.562798
Ouganda,30744473911.5312
Ukraine,112090530368.543
"Revenu intermédiaire, tranche supérieure",21643735891993.602
Uruguay,64233966861.251801
États-Unis,19479620056000
Ouzbékistan,62081323299.032402
Saint-Vincent-et-les Grenadines,847620214.75807405
Venezuela,
Îles Vierges britanniques,
Îles Vierges (EU),3794000000
Viet Nam,281353402175.23602
Vanuatu,880062103.04505301
Monde,81403977427442.594
Samoa,832025556.08140099
Kosovo,7180813375.5083599
"Yémen, Rép. du",26842231204.804699
Afrique du Sud,381448814653.45599
Zambie,25873601260.8353
Zimbabwe,17584890936.652302
,
,
,
,
