Zone,Disponibilité alimentaire en quantité (kg/personne/an),Importations - Quantité,Production,Variation de stock
Afghanistan,1.53,29.0,28.0,0.0
Afrique du Sud,35.69,514.0,1667.0,-0.0
Albanie,16.36,38.0,13.0,4.0
Algérie,6.38,2.0,275.0,0.0
Allemagne,19.47,842.0,1514.0,-29.0
Angola,10.56,277.0,42.0,-0.0
Antigua-et-Barbuda,54.1,7.0,0.0,0.0
Arabie saoudite,43.36,722.0,616.0,-108.0
Argentine,42.24,8.0,2161.0,0.0
Arménie,16.06,35.0,11.0,-2.0
Australie,47.65,16.0,1269.0,71.0
Autriche,18.2,110.0,148.0,8.0
Azerbaïdjan,13.11,27.0,104.0,2.0
Bahamas,43.17,24.0,6.0,4.0
Bangladesh,1.5,0.0,249.0,-0.0
Barbade,46.78,2.0,15.0,0.0
Belgique,12.65,338.0,463.0,-6.0
Belize,25.69,0.0,20.0,1.0
Bolivie (État plurinational de),36.0,1.0,533.0,103.0
Bosnie-Herzégovine,16.7,10.0,61.0,8.0
Botswana,3.39,3.0,5.0,0.0
Brésil,48.03,3.0,14201.0,0.0
Bulgarie,22.06,108.0,107.0,13.0
Burkina Faso,2.27,0.0,46.0,-0.0
Bélarus,27.98,21.0,463.0,67.0
Bénin,14.4,123.0,18.0,-20.0
Cabo Verde,17.62,12.0,1.0,4.0
Cambodge,2.34,10.0,28.0,-0.0
Cameroun,3.16,0.0,81.0,-0.0
Canada,39.02,182.0,1417.0,3.0
Chili,36.36,155.0,712.0,80.0
Chine - RAS de Hong-Kong,53.51,907.0,24.0,-12.0
Chine - RAS de Macao,34.47,23.0,3.0,8.0
"Chine, Taiwan Province de",33.17,161.0,652.0,20.0
"Chine, continentale",12.33,452.0,18236.0,-50.0
Chypre,25.08,14.0,25.0,0.0
Colombie,31.99,78.0,1564.0,-4.0
Congo,21.53,104.0,7.0,-0.0
Costa Rica,26.52,17.0,133.0,13.0
Croatie,10.77,24.0,61.0,22.0
Cuba,23.72,312.0,29.0,-1.0
Côte d'Ivoire,2.53,7.0,58.0,-0.0
Danemark,28.98,133.0,173.0,0.0
Djibouti,2.68,3.0,0.0,0.0
Dominique,35.19,4.0,0.0,0.0
El Salvador,20.43,16.0,136.0,20.0
Espagne,30.39,205.0,1515.0,11.0
Estonie,21.26,21.0,20.0,2.0
Eswatini,6.46,2.0,6.0,0.0
Fidji,28.02,3.0,23.0,1.0
Finlande,18.76,16.0,129.0,22.0
France,22.9,506.0,1750.0,183.0
Fédération de Russie,30.98,226.0,4444.0,-1.0
Gabon,29.33,76.0,4.0,2.0
Gambie,3.53,16.0,2.0,10.0
Ghana,7.24,151.0,60.0,0.0
Grenade,45.7,7.0,1.0,-0.0
Grèce,15.32,79.0,246.0,118.0
Guatemala,20.58,129.0,235.0,-0.0
Guinée,4.08,37.0,13.0,-0.0
Guinée-Bissau,2.16,4.0,3.0,3.0
Guyana,38.34,0.0,31.0,-1.0
Géorgie,15.27,51.0,22.0,6.0
Haïti,8.91,89.0,9.0,-0.0
Honduras,21.73,12.0,193.0,-1.0
Hongrie,25.27,58.0,493.0,74.0
Inde,2.22,0.0,3545.0,-119.0
Indonésie,7.19,1.0,2301.0,-21.0
Iran (République islamique d'),27.52,6.0,2174.0,-86.0
Iraq,14.95,470.0,96.0,-0.0
Irlande,25.82,99.0,110.0,-12.0
Islande,29.95,2.0,10.0,1.0
Israël,67.39,0.0,629.0,-10.0
Italie,18.88,97.0,1315.0,56.0
Jamaïque,51.1,31.0,128.0,7.0
Japon,18.5,1069.0,2215.0,859.0
Jordanie,28.07,64.0,210.0,-10.0
Kazakhstan,18.27,174.0,171.0,8.0
Kenya,0.67,0.0,35.0,-0.0
Kirghizistan,3.1,25.0,7.0,-1.0
Kiribati,17.98,1.0,1.0,0.0
Koweït,46.25,137.0,56.0,0.0
Lesotho,7.929999999999999,15.0,2.0,1.0
Lettonie,20.89,43.0,33.0,16.0
Liban,10.74,13.0,64.0,0.0
Libéria,10.67,48.0,15.0,12.0
Lituanie,28.19,44.0,118.0,12.0
Luxembourg,18.33,11.0,0.0,0.0
Macédoine du Nord,19.73,40.0,2.0,-0.0
Madagascar,2.87,0.0,81.0,-0.0
Malaisie,39.21,68.0,1724.0,128.0
Malawi,5.17,0.0,130.0,33.0
Maldives,13.5,12.0,0.0,0.0
Mali,2.83,1.0,48.0,-4.0
Malte,27.17,9.0,4.0,-1.0
Maroc,20.96,3.0,762.0,17.0
Maurice,37.93,2.0,48.0,0.0
Mauritanie,5.14,24.0,5.0,6.0
Mexique,32.52,972.0,3249.0,-6.0
Mongolie,2.77,10.0,0.0,1.0
Monténégro,15.98,8.0,4.0,1.0
Mozambique,3.59,24.0,92.0,-1.0
Myanmar,30.37,3.0,1662.0,-1.0
Namibie,11.53,29.0,11.0,0.0
Nicaragua,21.59,6.0,143.0,11.0
Niger,0.94,3.0,19.0,-0.0
Nigéria,1.01,0.0,201.0,-0.0
Norvège,19.05,2.0,101.0,1.0
Nouvelle-Calédonie,38.71,9.0,1.0,-1.0
Nouvelle-Zélande,34.79,1.0,223.0,32.0
Népal,1.99,0.0,58.0,-0.0
Oman,21.63,126.0,7.0,2.0
Ouganda,1.52,0.0,65.0,-0.0
Ouzbékistan,1.96,0.0,0.0,0.0
Pakistan,5.86,2.0,1281.0,-3.0
Panama,33.82,20.0,198.0,25.0
Paraguay,5.99,1.0,45.0,-0.0
Pays-Bas,20.33,608.0,1100.0,-82.0
Philippines,13.87,249.0,1272.0,-3.0
Pologne,30.3,55.0,2351.0,225.0
Polynésie française,47.4,15.0,1.0,0.0
Portugal,30.58,82.0,361.0,74.0
Pérou,13.47,60.0,1465.0,0.0
Roumanie,19.37,146.0,392.0,88.0
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,31.94,779.0,1814.0,0.0
Rwanda,1.49,0.0,19.0,-0.0
République centrafricaine,2.29,4.0,7.0,-0.0
République de Corée,16.7,137.0,838.0,115.0
République de Moldova,16.14,16.0,54.0,5.0
République dominicaine,35.26,42.0,339.0,0.0
République démocratique populaire lao,10.91,0.0,0.0,0.0
République populaire démocratique de Corée,1.62,0.0,43.0,-0.0
République-Unie de Tanzanie,1.88,2.0,105.0,-0.0
Saint-Kitts-et-Nevis,55.77,4.0,0.0,0.0
Saint-Vincent-et-les Grenadines,72.31,9.0,0.0,1.0
Sainte-Lucie,56.69,10.0,1.0,0.0
Samoa,64.77,17.0,0.0,2.0
Sao Tomé-et-Principe,9.47,2.0,1.0,1.0
Serbie,10.16,12.0,85.0,0.0
Sierra Leone,3.97,14.0,17.0,-0.0
Slovaquie,13.9,63.0,71.0,26.0
Slovénie,24.41,20.0,72.0,11.0
Soudan,1.6,2.0,67.0,0.0
Sri Lanka,7.78,0.0,192.0,-1.0
Suisse,15.72,51.0,91.0,5.0
Suriname,31.06,18.0,10.0,-2.0
Suède,16.6,84.0,157.0,31.0
Sénégal,4.76,0.0,77.0,-0.0
Tadjikistan,4.45,38.0,2.0,-0.0
Tchad,0.45,1.0,6.0,-0.0
Tchéquie,21.96,116.0,163.0,3.0
Thaïlande,12.95,2.0,1676.0,1.0
Timor-Leste,4.24,11.0,1.0,7.0
Togo,7.06,16.0,40.0,1.0
Trinité-et-Tobago,54.54,23.0,61.0,8.0
Tunisie,17.03,0.0,213.0,15.0
Turkménistan,4.52,9.0,20.0,2.0
Turquie,20.64,3.0,2192.0,92.0
Ukraine,22.62,121.0,1211.0,49.0
Uruguay,9.12,3.0,33.0,0.0
Vanuatu,11.66,4.0,1.0,1.0
Venezuela (République bolivarienne du),20.28,25.0,600.0,-1.0
Viet Nam,12.33,291.0,918.0,2.0
Yémen,8.529999999999998,78.0,168.0,-0.0
Zambie,3.42,12.0,49.0,-0.0
Zimbabwe,4.68,6.0,69.0,-0.0
Égypte,12.96,110.0,1118.0,-23.0
Émirats arabes unis,43.47,433.0,48.0,-26.0
Équateur,19.31,0.0,340.0,-1.0
États-Unis d'Amérique,55.68,123.0,21914.0,80.0
Éthiopie,0.13,1.0,14.0,0.0
Îles Salomon,4.45,6.0,0.0,3.0
